prime_rate_CA,unemployment_CA,consumer_price_index_CA,GDP_CA,industrial_price_index_CA, labor_participation_US,consumer_price_index_US,population_US,price_per_commodity_US,unemployment_US,prime_rate_US
4.75,14704290,115.8,1715622, 89.6, 66.1,3.98912873927891987,304646,205.500,5.8,5.00
4.75,14742927,115.6,1714295, 89.8, 66.1,2.94013128490127018,304903,199.000,6.1,5.00
4.75,14727185,115.7,1714712, 88.8, 66.0,3.17438970761372019,305158,196.900,6.1,5.00
4.13,14739059,114.5,1712871, 88.7, 66.0,2.20171024216991018,305403,186.400,6.5,4.00
4.13,14670815,114.1,1695651, 86.1, 65.9,1.93625366578525004,305620,176.800,6.8,4.00
3.25,14622350,113.3,1672410, 83.9, 65.8,0.36348415080054208,305827,170.900,7.3,3.25
2.75,14535832,113.0,1664411, 83.9, 65.7,2.40364062502631981,306035,171.200,7.8,3.25
2.75,14502900,113.8,1655773, 84.3, 65.8,2.14357605719473021,306237,169.300,8.3,3.25
2.50,14432188,114.0,1642352, 84.6, 65.6,1.90828983085517989,306438,168.100,8.7,3.25
2.25,14382808,113.9,1637034, 84.3, 65.7,1.86117019943738993,306645,169.100,9.0,3.25
2.25,14363966,114.7,1635329, 83.3, 65.7,1.29376893720740993,306863,170.800,9.4,3.25
2.25,14333110,115.1,1637232, 83.7, 65.7,0.75584590889346004,307090,174.100,9.5,3.25
2.25,14364733,114.7,1639863, 83.2, 65.5,0.12583251339235399,307322,172.500,9.5,3.25
2.25,14283092,114.7,1639145, 83.6, 65.4,1.62550610790990002,307570,175.000,9.6,3.25
2.25,14314643,114.7,1651417, 83.2, 65.1,0.91436978353358600,307826,174.100,9.8,3.25
2.25,14336328,114.6,1653106, 82.9, 65.0,1.19036541881350000,308071,1175.200,0.0,3.25
2.25,14360557,115.2,1662710, 83.6, 65.0,0.51601642131349201,308289,177.400,9.9,3.25
2.25,14374230,114.8,1667429, 83.6, 64.6,0.46081040984140598,308495,178.100,9.9,3.25
2.75,14380938,115.1,1677635, 84.1, 64.8,0.68011084594070703,308706,181.900,9.8,3.25
2.75,14401914,115.6,1686315, 84.1, 64.9,-0.10662785426794889,308904,181.000,9.8,3.25
2.75,14419449,115.6,1694468, 84.1, 64.9,-0.28606424629804600,309095,183.300,9.9,4.25
2.75,14443934,116.0,1692492, 84.5, 65.2,0.45261625417847290,309289,184.400,9.9,4.25
2.75,14435958,116.3,1700050, 84.8, 64.9,0.27574788971957997,309485,184.800,9.6,4.25
2.50,14455304,116.2,1704611, 84.2, 64.6,1.26475267675238978,309691,183.500,9.4,4.25
2.75,14506360,116.8,1707189, 84.1, 64.6,0.63230506844271805,309913,184.100,9.4,4.25
2.75,14475308,116.7,1712496, 84.4, 64.7,0.43020593403721991,310146,184.900,9.5,4.25
3.00,14512370,116.9,1712435, 85.1, 64.6,1.53627227687154000,310385,184.900,9.5,4.25
3.00,14540208,117.4,1721370, 85.8, 64.4,1.12609057107202015,310612,186.600,9.4,4.25
3.00,14544117,117.5,1729551, 86.6, 64.6,1.31829898066591000,310820,187.700,9.8,4.25
3.00,14601090,117.5,1741609, 87.4, 64.3,1.39338028075399989,311020,189.700,9.3,4.25
3.00,14614539,117.8,1747291, 88.0, 64.2,2.27322625990495997,311204,192.700,9.1,4.25
3.00,14654397,118.1,1744126, 89.0, 64.1,2.81696889792589023,311373,195.800,9.0,4.25
3.00,14674888,119.4,1749485, 90.5, 64.2,1.74418998266394998,311551,199.200,9.0,4.25
3.00,14691423,119.8,1749674, 91.4, 64.2,2.24921919600375997,311740,203.100,9.1,4.25
3.00,14650020,120.6,1745781, 91.0, 64.1,2.30581553962389973,311935,204.100,9.0,4.25
3.00,14709181,119.8,1753348, 91.0, 64.0,1.92672807632472010,312147,203.900,9.1,4.25
3.00,14711567,120.0,1765251, 91.0, 64.0,2.53703137566649994,312372,204.600,9.0,4.25
3.00,14713518,120.3,1774000, 91.7, 64.1,3.17797077169900932,312605,203.200,9.0,4.25
3.00,14754414,120.6,1778754, 92.1, 64.2,2.49197707942445978,312842,203.700,9.0,4.25
3.00,14752380,120.8,1778522, 91.5, 64.1,2.02226514469577001,313060,201.100,8.8,4.25
3.00,14803126,120.9,1780501, 91.8, 64.1,1.84701379887521999,313260,201.400,8.6,4.25
3.00,14815763,120.2,1789093, 90.9, 64.0,2.37433305779156001,313454,199.800,8.5,4.25
3.00,14834658,120.7,1787647, 91.4, 63.7,3.19808928450254015,313636,200.700,8.3,4.25
3.00,14842613,121.2,1783169, 92.1, 63.8,1.68455191336783017,313811,201.600,8.3,4.25
3.00,14880515,121.7,1787826, 92.6, 63.8,2.42029632056173005,313993,204.200,8.2,4.75
3.20,14928715,122.2,1794148, 92.7, 63.7,2.28513384278916964,314176,203.700,8.2,4.75
3.20,14988650,122.1,1797125, 92.0, 63.7,1.73207207221012971,314368,201.900,8.2,4.75
3.70,15002346,121.6,1798133, 91.5, 63.8,1.92206327761143991,314576,199.800,8.2,4.75
4.70,15008330,121.5,1801749, 91.1, 63.7,2.08371119432122009,314796,200.100,8.2,6.25
4.70,15048803,121.8,1799417, 91.2, 63.5,2.42386601913445032,315031,202.700,8.1,6.25
4.70,15048458,122.0,1799218, 92.2, 63.6,2.28660374272893030,315264,204.400,7.8,7.00
4.70,15034010,122.2,1798409, 92.0, 63.8,1.87504766315374005,315485,203.500,7.8,7.00
4.70,15077446,121.9,1806944, 91.7, 63.6,2.07215537879355027,315692,201.800,7.7,7.75
4.70,15057304,121.2,1806713, 91.4, 63.7,1.79065016566901991,315877,201.500,7.9,8.25
4.70,15089401,121.3,1816978, 91.8, 63.7,2.74180750368704018,316038,202.500,8.0,8.25
4.70,15134700,122.7,1822370, 93.1, 63.4,2.45154222786008003,316191,204.300,7.7,8.25
4.70,15172619,122.9,1828635, 92.9, 63.3,1.21535791179702990,316357,204.000,7.5,8.50
4.70,15175324,122.7,1831835, 91.9, 63.4,2.08888418599399994,316535,203.500,7.6,8.50
4.70,15158797,123.0,1836826, 91.8, 63.4,1.95638233225289992,316729,204.100,7.5,8.50
4.70,15132640,123.0,1830161, 92.0, 63.4,2.13725043962468986,316934,204.300,7.5,8.50
4.70,15184822,123.1,1840718, 92.1, 63.3,2.00320004740069013,317156,204.400,7.3,9.00
4.70,15259473,123.1,1848826, 92.5, 63.3,2.14802989891619989,317397,204.200,7.2,9.00
4.70,15242515,123.3,1855132, 92.2, 63.2,2.23216017314455994,317635,203.900,7.2,9.00
4.70,15269938,123.0,1865193, 91.8, 62.8,1.16372929089216992,317864,202.500,7.2,9.00
4.70,15275659,123.0,1869835, 91.9, 63.0,2.60550640737741990,318076,201.200,6.9,9.00
4.70,15282614,122.7,1862159, 92.6, 62.9,2.84464408227172028,318276,202.000,6.7,9.00
4.70,15303733,123.1,1863035, 94.0, 62.9,2.40632650352187971,318464,203.800,6.6,9.00
4.70,15313104,124.1,1872372, 95.1, 62.9,2.35083134647024972,318642,205.700,6.7,9.00
4.70,15335212,124.8,1877319, 95.6, 63.1,2.85897667543570977,318827,207.000,6.7,9.00
4.70,15324509,125.2,1881089, 95.4, 62.8,2.21493222879675988,319020,208.300,6.2,9.00
4.70,15386948,125.8,1892936, 94.8, 62.9,2.54562660708071009,319225,208.000,6.3,9.00
4.70,15406606,125.9,1901582, 94.9, 62.8,1.31136444111866002,319438,208.300,6.1,9.00
4.70,15438786,125.7,1904250, 94.7, 62.9,2.40490383837574973,319670,208.000,6.2,9.00
4.70,15474888,125.7,1900262, 94.9, 62.9,1.75173691535098008,319919,207.000,6.1,9.00
4.70,15458716,125.8,1907872, 94.6, 62.8,1.93541098458713989,320166,206.400,5.9,8.50
4.70,15479266,125.9,1913355, 94.0, 62.9,2.42895655112680009,320403,203.400,5.7,8.50
4.70,15457532,125.4,1914614, 93.7, 62.9,2.25631054100233008,320616,200.900,5.8,8.25
4.70,15460735,124.5,1917559, 92.2, 62.8,2.38339424556420010,320815,197.000,5.6,8.00
2.85,15509496,124.3,1909603, 92.0, 62.9,1.94752959883825993,320997,192.000,5.7,8.00
2.85,15506747,125.4,1907049, 93.8, 62.7,1.95449451571832000,321164,191.100,5.5,8.00
2.85,15502098,126.3,1905988, 94.0, 62.6,2.43333592636742990,321344,191.500,5.4,8.00
2.85,15540006,126.2,1905441, 93.2, 62.8,2.96265053867684003,321538,190.900,5.4,8.00
2.85,15557356,126.9,1904409, 93.7, 62.9,2.50129109910949987,321740,193.400,5.6,8.00
2.85,15529627,127.2,1909593, 94.2, 62.7,2.97239956431091956,321954,194.800,5.3,8.00
2.70,15558622,127.3,1914406, 94.9, 62.6,1.92202530060316956,322186,193.900,5.2,8.00
2.70,15524686,127.3,1918458, 94.5, 62.6,1.63579063211564990,322427,191.900,5.1,8.00
2.70,15542239,127.1,1910530, 94.1, 62.4,2.99841569275872022,322670,189.100,5.0,8.00
2.70,15594406,127.2,1912301, 93.7, 62.5,2.28316449144805000,322901,187.500,5.0,8.00
2.70,15578974,127.1,1916787, 93.4, 62.5,2.26548060012650021,323113,185.700,5.1,8.00
2.70,15601475,126.5,1918886, 93.2, 62.7,1.83471969623818998,323318,183.500,5.0,8.00
2.70,15603357,126.8,1930434, 93.6, 62.7,2.70841659132004020,323509,182.600,4.8,8.00
2.70,15589850,127.1,1924854, 92.7, 62.8,2.53771440127247994,323687,181.300,4.9,8.00
2.70,15618512,127.9,1917766, 92.1, 63.0,2.22200455864591984,323871,182.100,5.0,8.00
2.70,15667926,128.3,1922103, 91.7, 62.9,3.82547788330950977,324061,183.200,5.1,8.00
2.70,15664311,128.8,1911266, 92.7, 62.7,3.28051918804040010,324260,185.300,4.8,8.00
2.70,15704423,129.1,1920490, 93.5, 62.7,2.10339046055212009,324476,187.600,4.9,8.00
2.70,15698459,128.9,1931887, 93.8, 62.8,2.49016471097935987,324697,187.700,4.8,8.00
2.70,15682803,128.7,1936423, 93.5, 62.9,2.74257089079208027,324924,186.600,4.9,8.00
2.70,15742713,128.8,1941422, 93.8, 62.9,2.49832933493122011,325155,186.900,5.0,8.00
2.70,15747469,129.1,1940404, 94.6, 62.8,2.01802556175075010,325368,186.700,4.9,8.00
2.70,15782077,128.6,1947701, 95.0, 62.7,2.45883151623452001,325562,186.300,4.7,8.00
2.70,15833466,128.4,1953152, 95.2, 62.7,2.03838510774881021,325742,188.200,4.7,3.75
2.70,15823605,129.5,1962254, 95.9, 62.8,3.43630577482942989,325901,190.700,4.7,4.00
2.70,15877943,129.7,1969304, 96.1, 62.9,3.29234633875322036,326050,191.600,4.6,4.00
2.70,15873136,129.9,1978060, 96.9, 62.9,1.91438367511723007,326207,191.500,4.4,4.00
2.70,15893736,130.4,1987668, 97.4, 63.0,1.55365836257900991,326371,193.000,4.4,4.00
2.70,15920446,130.5,1992055, 97.6, 62.8,2.11321887098435024,326548,192.800,4.4,4.00
2.70,16006894,130.4,1996878, 96.5, 62.8,1.89683378620466958,326743,193.600,4.3,4.25
2.95,16016009,130.4,1996019, 95.1, 62.9,2.12209368341407023,326939,193.500,4.3,4.25
2.95,16062744,130.5,1994122, 95.4, 62.9,2.27475798765204029,327140,193.800,4.4,4.25
3.20,16094798,130.8,1999220, 95.1, 63.1,2.87025677144829983,327342,194.800,4.3,4.25
3.20,16075014,130.9,1999518, 96.1, 62.7,2.42496302403465025,327528,194.900,4.2,4.25
3.20,16091352,131.3,2008970, 97.6, 62.7,2.42039295861358017,327699,195.900,4.2,4.50
3.20,16135526,130.8,2014340, 97.5, 62.7,2.95574718908234013,327848,196.300,4.1,4.50
3.45,16141464,131.7,2020721, 98.1, 62.7,4.17000041826154000,327969,197.900,4.0,4.75
3.45,16187322,132.5,2031403, 98.3, 63.0,2.01327934554866994,328085,199.300,4.1,4.75
3.45,16240028,132.9,2039914, 99.2, 62.9,1.96190007372538955,328219,199.300,4.0,4.75
3.45,16241819,133.3,2040275, 99.8, 62.9,2.93200914809487978,328364,200.300,4.0,4.75
3.45,16308863,133.4,2047718,101.0, 62.9,2.98183255084012044,328521,203.200,3.8,5.00
3.45,16337888,133.6,2050188,101.6, 63.0,2.63211788853712036,328692,204.200,4.0,5.00
3.70,16317624,134.3,2054500,101.3, 63.0,2.11149391449984991,328863,204.300,3.8,5.00
3.70,16361894,134.2,2056138,100.8, 62.6,2.29671128678510028,329040,203.400,3.8,5.00
3.70,16394455,133.7,2059567,101.0, 62.8,2.33372335554622046,329216,203.600,3.7,5.25
3.95,16437606,134.1,2063118,101.1, 62.9,2.60626268747923007,329379,204.600,3.8,5.25
3.95,16534929,133.5,2059427,100.2, 62.9,3.72376360170077048,329527,202.300,3.8,5.50
3.95,16519015,133.4,2062691, 99.5, 63.0,2.91177701505443043,329659,201.000,3.9,5.50
3.95,16588646,133.6,2067478, 99.1, 63.1,2.88960472562633974,329766,199.100,4.0,5.50
3.95,16631640,134.5,2061962, 99.4, 63.1,2.97821762626108999,329862,199.200,3.8,5.50
3.95,16643712,135.4,2073732,100.6, 63.0,3.21024114832287033,329977,200.800,3.8,5.50
3.95,16642473,136.0,2086598,101.5, 62.8,2.82946232379089002,330103,202.100,3.7,5.50
3.95,16679769,136.6,2092359,101.4, 62.9,2.55853514567627949,330240,201.700,3.6,5.50
3.95,16693959,136.3,2096319, 99.9, 63.0,2.96310499495168989,330393,200.300,3.6,5.50
3.95,16749996,137.0,2097225, 99.6, 63.1,3.20088881178510976,330553,200.700,3.7,5.25
3.95,16762864,136.8,2097381, 99.8, 63.1,2.62575663098745027,330729,199.200,3.6,5.25
3.95,16753014,136.2,2098372, 99.7, 63.2,2.50440284645774058,330904,198.400,3.5,5.00
3.95,16758661,136.6,2099541, 99.7, 63.3,2.67072730886815002,331066,198.600,3.6,5.00
3.95,16777213,136.4,2099164, 99.8, 63.3,3.27785810135185951,331213,199.000,3.6,5.00
3.95,16782972,136.4,2109773,100.0, 63.3,2.52541708194375980,331345,199.000,3.6,5.00
3.95,16820525,136.8,2111889,100.0, 63.3,3.73900290493837995,331443,199.300,3.6,4.50
3.95,16801820,137.4,2116239,100.0, 63.3,2.87314075414152992,331525,196.700,3.5,4.50
2.95,15854084,136.6,1956667, 98.9, 62.6,2.96611597454438991,331642,193.100,4.4,4.50
2.95,14021859,135.7,1747909, 97.0, 60.1,2.05141045111049980,331699,1185.500,4.8,4.50
2.95,13542230,136.1,1827719, 97.9, 60.8,3.04234095952862038,331701,1188.600,3.2,4.50
2.95,14169655,137.2,1935937, 98.0, 61.5,1.63037994426169996,331744,1191.200,1.0,4.50
2.95,14891584,137.2,1986260, 99.1, 61.5,4.12644301223046028,331811,1193.000,0.2,4.50
2.95,15208042,137.0,2006168,100.1, 61.7,2.56425045725699041,331885,194.300,8.4,4.50
2.95,15529775,136.9,2024936,100.8, 61.5,1.09289511329195999,331966,195.500,7.8,4.50
2.95,15708322,137.5,2037235,100.9, 61.7,1.79186100386308023,332041,196.500,6.8,4.50
2.95,15693134,137.7,2050923,100.5, 61.5,1.36409877769683008,332079,198.300,6.7,4.50
2.95,15729199,137.4,2056578,102.1, 61.5,1.40126243037698983,332062,200.500,6.7,4.50
2.95,15599583,138.2,2069959,104.3, 61.3,1.17126192381685001,332007,204.800,6.4,4.50
2.95,15666667,138.9,2074161,107.4, 61.4,2.79187179404496000,331983,210.600,6.2,4.50
2.95,15906060,139.6,2095037,109.2, 61.5,2.45230811885554978,332023,215.000,6.1,4.50
2.95,16026001,140.3,2074294,111.5, 61.6,2.90626910167791008,332089,217.900,6.1,4.50
2.95,15804156,141.0,2068403,114.8, 61.5,3.25571552598808989,332161,224.900,5.8,4.50
2.95,16012756,141.4,2086880,115.0, 61.7,3.75085967160497979,332249,228.900,5.9,4.50
2.95,16311808,142.3,2101011,115.0, 61.8,3.03001455558991006,332375,231.850,5.4,4.50
2.95,16401931,142.6,2118070,114.6, 61.8,4.05292067237106046,332506,233.415,5.1,4.50
2.95,16471655,142.9,2127260,116.0, 61.7,4.93068961392651062,332610,235.678,4.7,4.50
2.95,16588914,143.9,2144935,117.6, 61.8,6.58162335190871062,332708,240.465,4.5,4.50
2.95,16663711,144.2,2156435,117.6, 61.9,5.92197752452098847,332806,243.287,4.1,4.50
2.95,16763760,144.0,2165059,118.2, 62.0,4.86424346054244072,332891,241.338,3.9,4.50
2.95,16752769,145.3,2157548,121.3, 62.2,6.73598572134308959,332933,246.453,4.0,4.50
2.95,16866960,146.8,2173306,124.6, 62.2,6.37518816583601922,332972,252.660,3.8,4.75
2.70,16995210,148.9,2188890,129.0, 62.3,6.22131864885611030,333067,260.014,3.6,4.25
3.20,17105266,149.8,2187675,130.5, 62.2,6.92388263628694034,333191,265.310,3.7,4.75
3.20,17099430,151.9,2193450,132.7, 62.3,7.58887877102441077,333317,273.251,3.6,4.75
3.70,17195588,152.9,2198676,131.6, 62.2,8.01045995451126025,333451,280.251,3.6,4.75
4.70,17240786,153.1,2201010,128.4, 62.1,5.98832618011915052,333599,272.274,3.5,6.25
4.70,17258279,152.6,2206930,126.5, 62.4,8.04803616793305920,333762,269.546,3.6,6.25
5.45,17327320,152.7,2210482,126.3, 62.3,7.72921604833855991,333925,267.898,3.5,7.00
5.95,17347881,153.8,2206747,129.2, 62.3,6.69366641779917959,334071,265.061,3.6,7.75
5.95,17419367,154.0,2205410,128.2, 62.1,5.91661658760608944,334206,263.157,3.6,7.75
6.45,17482151,153.1,2198020,127.1, 62.3,6.55462261476892838,334326,257.897,3.5,8.25
6.70,17534970,153.9,2219088,127.1, 62.4,7.40659988402694047,334433,260.227,3.4,8.50
6.70,17582997,154.5,2223989,126.4, 62.5,7.88049589496700165,334544,258.669,3.6,8.50
6.70,17579049,155.3,2230182,126.2, 62.6,4.62475076644841998,334664,257.062,3.5,8.75
6.70,17506457,156.4,2229312,125.9, 62.6,5.18616801348069156,334792,256.908,3.4,8.75
6.70,17657047,157.0,2231269,125.2, 62.6,4.83841780786020959,334929,253.670,3.7,8.75
6.95,17687247,157.2,2228073,124.3, 62.6,4.39642524892616038,335080,253.860,3.6,8.75
7.20,17685991,158.1,2228857,124.3, 62.6,2.49077584715135991,335248,253.835,3.5,9.00
7.20,17695010,158.7,2231565,126.5, 62.8,4.35897232415277003,335431,257.680,3.8,9.00
7.20,17729475,158.5,2230741,127.0, 62.8,5.21792092786128947,335612,258.934,3.8,9.00
7.20,17716440,158.6,2234639,125.8, 62.7,3.49795816925966019,335773,255.192,3.8,9.00
7.20,17654209,158.8,2238191,125.3, 62.8,5.12261495364029962,335925,252.856,3.7,9.00
7.20,17703758,158.3,2234502,123.3, 62.5,4.16012515068491151,336070,249.866,3.7,9.00
7.20,17746729,158.3,2242265,123.3, 62.5,6.54247711333595028,336194,251.306,3.7,9.00
7.20,17763653,158.8,2249888,124.6, 62.5,4.55815950379620993,336306,254.926,3.9,9.00
7.20,17794949,159.8,2248842,125.7, 62.7,4.32734565378700964,336423,255.095,3.8,9.00
7.20,17810851,160.6,2257127,127.7, 62.7,4.25132259006097968,336550,256.978,3.9,9.00
7.20,17845344,161.5,2259508,128.0, 62.5,3.01646901493071029,336687,255.313,4.0,9.00
6.95,17816461,161.4,2260473,127.9, 62.6,2.36466518194450970,336839,255.914,4.1,8.50
6.70,17849215,162.1,2262854,127.9, 62.7,3.80499824370928019,337005,257.321,4.3,8.50
6.70,17877140,161.8,2264354,126.7, 62.7,3.18039686786902021,337185,255.430,4.2,8.25
6.45,17849754,161.1,2269777,125.7, 62.7,4.14646127656875052,337362,252.690,4.1,8.50
5.95,17835797,161.8,2276983,127.2, 62.6,3.60736895679824965,337521,253.162,4.1,8.25
