labor_participation_US,consumer_price_index_US,population_US,price_per_commodity_US,unemployment_US,prime_rate_US
62.9,3.72376360170077048,329527,202.300,3.8,5.50
63.0,2.91177701505443043,329659,201.000,3.9,5.50
63.1,2.88960472562633974,329766,199.100,4.0,5.50
63.1,2.97821762626108999,329862,199.200,3.8,5.50
63.0,3.21024114832287033,329977,200.800,3.8,5.50
62.8,2.82946232379089002,330103,202.100,3.7,5.50
62.9,2.55853514567627949,330240,201.700,3.6,5.50
63.0,2.96310499495168989,330393,200.300,3.6,5.50
63.1,3.20088881178510976,330553,200.700,3.7,5.25
63.1,2.62575663098745027,330729,199.200,3.6,5.25
63.2,2.50440284645774058,330904,198.400,3.5,5.00
63.3,2.67072730886815002,331066,198.600,3.6,5.00
63.3,3.27785810135185951,331213,199.000,3.6,5.00
63.3,2.52541708194375980,331345,199.000,3.6,5.00
63.3,3.73900290493837995,331443,199.300,3.6,4.50
63.3,2.87314075414152992,331525,196.700,3.5,4.50
62.6,2.96611597454438991,331642,193.100,4.4,4.50
60.1,2.05141045111049980,331699,1185.500,4.8,4.50
60.8,3.04234095952862038,331701,1188.600,3.2,4.50
61.5,1.63037994426169996,331744,1191.200,1.0,4.50
61.5,4.12644301223046028,331811,1193.000,0.2,4.50
61.7,2.56425045725699041,331885,194.300,8.4,4.50
61.5,1.09289511329195999,331966,195.500,7.8,4.50
61.7,1.79186100386308023,332041,196.500,6.8,4.50
61.5,1.36409877769683008,332079,198.300,6.7,4.50
61.5,1.40126243037698983,332062,200.500,6.7,4.50
61.3,1.17126192381685001,332007,204.800,6.4,4.50
61.4,2.79187179404496000,331983,210.600,6.2,4.50
61.5,2.45230811885554978,332023,215.000,6.1,4.50
61.6,2.90626910167791008,332089,217.900,6.1,4.50
61.5,3.25571552598808989,332161,224.900,5.8,4.50
61.7,3.75085967160497979,332249,228.900,5.9,4.50
61.8,3.03001455558991006,332375,231.850,5.4,4.50
61.8,4.05292067237106046,332506,233.415,5.1,4.50
61.7,4.93068961392651062,332610,235.678,4.7,4.50
61.8,6.58162335190871062,332708,240.465,4.5,4.50
61.9,5.92197752452098847,332806,243.287,4.1,4.50
62.0,4.86424346054244072,332891,241.338,3.9,4.50
62.2,6.73598572134308959,332933,246.453,4.0,4.50
62.2,6.37518816583601922,332972,252.660,3.8,4.75
62.3,6.22131864885611030,333067,260.014,3.6,4.25
62.2,6.92388263628694034,333191,265.310,3.7,4.75
62.3,7.58887877102441077,333317,273.251,3.6,4.75
62.2,8.01045995451126025,333451,280.251,3.6,4.75
62.1,5.98832618011915052,333599,272.274,3.5,6.25
62.4,8.04803616793305920,333762,269.546,3.6,6.25
62.3,7.72921604833855991,333925,267.898,3.5,7.00
62.3,6.69366641779917959,334071,265.061,3.6,7.75
62.1,5.91661658760608944,334206,263.157,3.6,7.75
62.3,6.55462261476892838,334326,257.897,3.5,8.25
62.4,7.40659988402694047,334433,260.227,3.4,8.50
62.5,7.88049589496700165,334544,258.669,3.6,8.50
62.6,4.62475076644841998,334664,257.062,3.5,8.75
62.6,5.18616801348069156,334792,256.908,3.4,8.75
62.6,4.83841780786020959,334929,253.670,3.7,8.75
62.6,4.39642524892616038,335080,253.860,3.6,8.75
62.6,2.49077584715135991,335248,253.835,3.5,9.00
62.8,4.35897232415277003,335431,257.680,3.8,9.00
62.8,5.21792092786128947,335612,258.934,3.8,9.00
62.7,3.49795816925966019,335773,255.192,3.8,9.00
62.8,5.12261495364029962,335925,252.856,3.7,9.00
62.5,4.16012515068491151,336070,249.866,3.7,9.00
62.5,6.54247711333595028,336194,251.306,3.7,9.00
62.5,4.55815950379620993,336306,254.926,3.9,9.00
62.7,4.32734565378700964,336423,255.095,3.8,9.00
62.7,4.25132259006097968,336550,256.978,3.9,9.00
62.5,3.01646901493071029,336687,255.313,4.0,9.00
62.6,2.36466518194450970,336839,255.914,4.1,8.50
62.7,3.80499824370928019,337005,257.321,4.3,8.50
62.7,3.18039686786902021,337185,255.430,4.2,8.25
62.7,4.14646127656875052,337362,252.690,4.1,8.50
62.6,3.60736895679824965,337521,253.162,4.1,8.25
