US_prime_rates, US_unemployment_rate, US_population, US_medianCPI, US_CIV
4.50, 3.6, 331443, 3.73900290493837995, 63.3, 199.300
4.50, 3.5, 331525, 2.87314075414152992, 63.3, 196.700
4.50, 4.4, 331642, 2.96611597454438991, 62.6, 193.100
4.50, 14.8,3316990,2.051410451110499800,60.10,185.500,
4.50, 13.2,3317010,3.042340959528620380,60.80,188.600,
4.50, 11.0,3317440,1.630379944261699960,61.50,191.200,
4.50, 10.2,3318110,4.126443012230460280,61.50,193.000,
4.50, 8.4, 331885, 2.56425045725699041, 61.7, 194.300
4.50, 7.8, 331966, 1.09289511329195999, 61.5, 195.500
4.50, 6.8, 332041, 1.79186100386308023, 61.7, 196.500
4.50, 6.7, 332079, 1.36409877769683008, 61.5, 198.300
4.50, 6.7, 332062, 1.40126243037698983, 61.5, 200.500
4.50, 6.4, 332007, 1.17126192381685001, 61.3, 204.800
4.50, 6.2, 331983, 2.79187179404496000, 61.4, 210.600
4.50, 6.1, 332023, 2.45230811885554978, 61.5, 215.000
4.50, 6.1, 332089, 2.90626910167791008, 61.6, 217.900
4.50, 5.8, 332161, 3.25571552598808989, 61.5, 224.900
4.50, 5.9, 332249, 3.75085967160497979, 61.7, 228.900
4.50, 5.4, 332375, 3.03001455558991006, 61.8, 231.850
4.50, 5.1, 332506, 4.05292067237106046, 61.8, 233.415
4.50, 4.7, 332610, 4.93068961392651062, 61.7, 235.678
4.50, 4.5, 332708, 6.58162335190871062, 61.8, 240.465
4.50, 4.1, 332806, 5.92197752452098847, 61.9, 243.287
4.50, 3.9, 332891, 4.86424346054244072, 62.0, 241.338
4.50, 4.0, 332933, 6.73598572134308959, 62.2, 246.453
4.75, 3.8, 332972, 6.37518816583601922, 62.2, 252.660
4.25, 3.6, 333067, 6.22131864885611030, 62.3, 260.014
4.75, 3.7, 333191, 6.92388263628694034, 62.2, 265.310
4.75, 3.6, 333317, 7.58887877102441077, 62.3, 273.251
4.75, 3.6, 333451, 8.01045995451126025, 62.2, 280.251
6.25, 3.5, 333599, 5.98832618011915052, 62.1, 272.274
6.25, 3.6, 333762, 8.04803616793305920, 62.4, 269.546
7.00, 3.5, 333925, 7.72921604833855991, 62.3, 267.898
