prime_rate_CA,unemployment_CA,consumer_price_index_CA,GDP_CA,industrial_price_index_CA
3.95,16437606,134.1,2063118,101.1
3.95,16534929,133.5,2059427,100.2
3.95,16519015,133.4,2062691, 99.5
3.95,16588646,133.6,2067478, 99.1
3.95,16631640,134.5,2061962, 99.4
3.95,16643712,135.4,2073732,100.6
3.95,16642473,136.0,2086598,101.5
3.95,16679769,136.6,2092359,101.4
3.95,16693959,136.3,2096319, 99.9
3.95,16749996,137.0,2097225, 99.6
3.95,16762864,136.8,2097381, 99.8
3.95,16753014,136.2,2098372, 99.7
3.95,16758661,136.6,2099541, 99.7
3.95,16777213,136.4,2099164, 99.8
3.95,16782972,136.4,2109773,100.0
3.95,16820525,136.8,2111889,100.0
3.95,16801820,137.4,2116239,100.0
2.95,15854084,136.6,1956667, 98.9
2.95,14021859,135.7,1747909, 97.0
2.95,13542230,136.1,1827719, 97.9
2.95,14169655,137.2,1935937, 98.0
2.95,14891584,137.2,1986260, 99.1
2.95,15208042,137.0,2006168,100.1
2.95,15529775,136.9,2024936,100.8
2.95,15708322,137.5,2037235,100.9
2.95,15693134,137.7,2050923,100.5
2.95,15729199,137.4,2056578,102.1
2.95,15599583,138.2,2069959,104.3
2.95,15666667,138.9,2074161,107.4
2.95,15906060,139.6,2095037,109.2
2.95,16026001,140.3,2074294,111.5
2.95,15804156,141.0,2068403,114.8
2.95,16012756,141.4,2086880,115.0
2.95,16311808,142.3,2101011,115.0
2.95,16401931,142.6,2118070,114.6
2.95,16471655,142.9,2127260,116.0
2.95,16588914,143.9,2144935,117.6
2.95,16663711,144.2,2156435,117.6
2.95,16763760,144.0,2165059,118.2
2.95,16752769,145.3,2157548,121.3
2.95,16866960,146.8,2173306,124.6
2.70,16995210,148.9,2188890,129.0
3.20,17105266,149.8,2187675,130.5
3.20,17099430,151.9,2193450,132.7
3.70,17195588,152.9,2198676,131.6
4.70,17240786,153.1,2201010,128.4
4.70,17258279,152.6,2206930,126.5
5.45,17327320,152.7,2210482,126.3
5.95,17347881,153.8,2206747,129.2
5.95,17419367,154.0,2205410,128.2
6.45,17482151,153.1,2198020,127.1
6.70,17534970,153.9,2219088,127.1
6.70,17582997,154.5,2223989,126.4
6.70,17579049,155.3,2230182,126.2
6.70,17506457,156.4,2229312,125.9
6.70,17657047,157.0,2231269,125.2
6.95,17687247,157.2,2228073,124.3
7.20,17685991,158.1,2228857,124.3
7.20,17695010,158.7,2231565,126.5
